,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1
228,228,544,1741,0.9844676067852034,0.0,0.0,0.0,3.633678674697876,0.0900719165802002,0.9844676067852034,0.0,0.0,0.0
229,229,544,1751,0.9844357976653697,0.0,0.0,0.0,2.427638530731201,0.09238338470458984,0.9844357976653697,0.0,0.0,0.0
230,230,544,1761,0.9844038579930228,0.0,0.0,0.0,2.843285322189331,0.09873151779174805,0.9844038579930228,0.0,0.0,0.0
231,231,544,1771,0.9843717869627802,0.0,0.0,0.0,6.6037516593933105,0.09166383743286133,0.9843717869627802,0.0,0.0,0.0
232,232,544,1781,0.9843395837626211,0.0,0.0,0.0,3.8731768131256104,0.09203529357910156,0.9843395837626211,0.0,0.0,0.0
233,233,544,1791,0.9843072475738179,0.0,0.0,0.0,2.675161361694336,0.09163475036621094,0.9843072475738179,0.0,0.0,0.0
234,234,544,1801,0.984274777570867,0.0,0.0,0.0,3.976461410522461,0.09623289108276367,0.984274777570867,0.0,0.0,0.0
235,235,544,1811,0.9842421729214182,0.0,0.0,0.0,3.635193109512329,0.09549188613891602,0.9842421729214182,0.0,0.0,0.0
236,236,544,1821,0.984209432786204,0.0,0.0,0.0,6.469209671020508,0.09557676315307617,0.984209432786204,0.0,0.0,0.0
237,237,544,1831,0.9841765563189673,0.0,0.0,0.0,2.6483778953552246,0.09458041191101074,0.9841765563189673,0.0,0.0,0.0
238,238,544,1841,0.9841435426663885,0.0,0.0,0.0,5.839988470077515,0.08911681175231934,0.9841435426663885,0.0,0.0,0.0
239,239,544,1851,0.9843194647710641,1.0,0.013157894736842105,0.025974025974025976,4.2516560554504395,0.08795595169067383,0.9843194647710641,1.0,0.013157894736842105,0.025974025974025976
240,240,545,1860,0.9842866121935889,0.0,0.0,0.0,3.4830830097198486,0.09009957313537598,0.9842866121935889,0.0,0.0,0.0
241,241,545,1870,0.9842536216670166,0.0,0.0,0.0,3.622554302215576,0.10456585884094238,0.9842536216670166,0.0,0.0,0.0
242,242,545,1880,0.9842204923206396,0.0,0.0,0.0,4.000194787979126,0.08860349655151367,0.9842204923206396,0.0,0.0,0.0
243,243,545,1890,0.9841872232764073,0.0,0.0,0.0,2.844728946685791,0.08764004707336426,0.9841872232764073,0.0,0.0,0.0
244,244,545,1900,0.9841538136488485,0.0,0.0,0.0,3.8718268871307373,0.0890507698059082,0.9841538136488485,0.0,0.0,0.0
245,245,545,1910,0.9841202625449926,0.5,0.013333333333333334,0.025974025974025976,3.0372109413146973,0.08654212951660156,0.9841202625449926,0.5,0.013333333333333334,0.025974025974025976
246,246,546,1919,0.9842987481434331,0.0,0.0,0.0,3.397024393081665,0.0961611270904541,0.9842987481434331,0.0,0.0,0.0
247,247,546,1929,0.9842653625345524,0.0,0.0,0.0,3.045300006866455,0.08934211730957031,0.9842653625345524,0.0,0.0,0.0
248,248,546,1939,0.9842318346473471,0.0,0.0,0.0,3.2589221000671387,0.09990930557250977,0.9842318346473471,0.0,0.0,0.0
249,249,546,1949,0.9841981635703608,0.0,0.0,0.0,3.2840960025787354,0.08871054649353027,0.9841981635703608,0.0,0.0,0.0
250,250,546,1959,0.9841643483843355,0.0,0.0,0.0,3.6828317642211914,0.08812928199768066,0.9841643483843355,0.0,0.0,0.0
251,251,546,1969,0.9841303881621274,0.0,0.0,0.0,2.88985276222229,0.08548903465270996,0.9841303881621274,0.0,0.0,0.0
252,252,546,1979,0.9840962819686224,0.0,0.0,0.0,5.921173572540283,0.0875403881072998,0.9840962819686224,0.0,0.0,0.0
253,253,546,1989,0.9840620288606504,0.0,0.0,0.0,5.49245285987854,0.08754372596740723,0.9840620288606504,0.0,0.0,0.0
254,254,546,1999,0.9840276278868983,0.0,0.0,0.0,4.522876262664795,0.08607125282287598,0.9840276278868983,0.0,0.0,0.0
255,255,546,2009,0.9839930780878218,0.0,0.0,0.0,4.508108139038086,0.08763861656188965,0.9839930780878218,0.0,0.0,0.0
256,256,546,2019,0.983958378495556,0.0,0.0,0.0,4.3724260330200195,0.08239603042602539,0.983958378495556,0.0,0.0,0.0
257,257,546,2029,0.9839235281338258,0.0,0.0,0.0,3.441448926925659,0.09058022499084473,0.9839235281338258,0.0,0.0,0.0
258,258,546,2039,0.9838885260178533,0.0,0.0,0.0,7.024564266204834,0.08675193786621094,0.9838885260178533,0.0,0.0,0.0
259,259,546,2049,0.9838533711542657,0.0,0.0,0.0,5.23057746887207,0.08853292465209961,0.9838533711542657,0.0,0.0,0.0
260,260,546,2059,0.9840367373715285,1.0,0.013513513513513514,0.026666666666666665,3.4363014698028564,0.08615446090698242,0.9840367373715285,1.0,0.013513513513513514,0.026666666666666665
261,261,547,2068,0.9840017532325225,0.0,0.0,0.0,4.470803499221802,0.08420252799987793,0.9840017532325225,0.0,0.0,0.0
262,262,547,2078,0.9839666154184055,0.0,0.0,0.0,3.1074721813201904,0.0860757827758789,0.9839666154184055,0.0,0.0,0.0
263,263,547,2088,0.9839313229143738,0.0,0.0,0.0,5.207754850387573,0.08456611633300781,0.9839313229143738,0.0,0.0,0.0
264,264,547,2098,0.9838958746966688,0.0,0.0,0.0,2.8510355949401855,0.08569073677062988,0.9838958746966688,0.0,0.0,0.0
265,265,547,2108,0.9838602697324784,0.0,0.0,0.0,4.311709642410278,0.0880429744720459,0.9838602697324784,0.0,0.0,0.0
266,266,547,2118,0.983824506979836,0.0,0.0,0.0,7.223400115966797,0.08538079261779785,0.983824506979836,0.0,0.0,0.0
267,267,547,2128,0.9837885853875195,0.0,0.0,0.0,4.4786059856414795,0.08501315116882324,0.9837885853875195,0.0,0.0,0.0
268,268,547,2138,0.9837525038949477,0.0,0.0,0.0,3.7288691997528076,0.08499598503112793,0.9837525038949477,0.0,0.0,0.0
269,269,547,2148,0.9837162614320767,0.0,0.0,0.0,5.37644100189209,0.08463907241821289,0.9837162614320767,0.0,0.0,0.0
270,270,547,2158,0.9836798569192935,0.0,0.0,0.0,4.233561277389526,0.08892345428466797,0.9836798569192935,0.0,0.0,0.0
271,271,547,2168,0.983643289267309,0.0,0.0,0.0,3.582815170288086,0.10009956359863281,0.983643289267309,0.0,0.0,0.0
272,272,547,2178,0.9836065573770492,0.0,0.0,0.0,8.226776838302612,0.0828094482421875,0.9836065573770492,0.0,0.0,0.0
273,273,547,2188,0.9842448795858654,1.0,0.0410958904109589,0.07894736842105263,3.270472764968872,0.08858895301818848,0.9842448795858654,1.0,0.0410958904109589,0.07894736842105263
274,274,550,2195,0.9842093390480487,0.0,0.0,0.0,3.6157991886138916,0.08424496650695801,0.9842093390480487,0.0,0.0,0.0
275,275,550,2205,0.9841736378023965,0.0,0.0,0.0,4.954077482223511,0.08178281784057617,0.9841736378023965,0.0,0.0,0.0
276,276,550,2215,0.9841377747564015,0.0,0.0,0.0,3.7912886142730713,0.08331656455993652,0.9841377747564015,0.0,0.0,0.0
277,277,550,2225,0.9841017488076311,0.0,0.0,0.0,3.739074230194092,0.08298468589782715,0.9841017488076311,0.0,0.0,0.0
278,278,550,2235,0.9840655588436148,0.0,0.0,0.0,3.6590185165405273,0.08118915557861328,0.9840655588436148,0.0,0.0,0.0
279,279,550,2245,0.9840292037417294,0.0,0.0,0.0,3.6313724517822266,0.0879209041595459,0.9840292037417294,0.0,0.0,0.0
280,280,550,2255,0.983992682369083,0.0,0.0,0.0,5.231765508651733,0.08971548080444336,0.983992682369083,0.0,0.0,0.0
281,281,550,2265,0.9839559935823974,0.0,0.0,0.0,7.002639055252075,0.08090782165527344,0.9839559935823974,0.0,0.0,0.0
282,282,550,2275,0.9839191362278888,0.0,0.0,0.0,6.389638423919678,0.08202528953552246,0.9839191362278888,0.0,0.0,0.0
283,283,550,2285,0.9838821091411467,0.0,0.0,0.0,3.880225658416748,0.08219671249389648,0.9838821091411467,0.0,0.0,0.0
284,284,550,2295,0.9838449111470113,0.0,0.0,0.0,5.494469881057739,0.08161759376525879,0.9838449111470113,0.0,0.0,0.0
285,285,550,2305,0.9838075410594495,0.0,0.0,0.0,4.440474510192871,0.0791168212890625,0.9838075410594495,0.0,0.0,0.0
286,286,550,2315,0.9837699976814283,0.0,0.0,0.0,4.898061990737915,0.08603692054748535,0.9837699976814283,0.0,0.0,0.0
287,287,550,2325,0.9837322798047874,0.0,0.0,0.0,3.034630060195923,0.0807030200958252,0.9837322798047874,0.0,0.0,0.0
288,288,550,2335,0.9834614488702539,0.0,0.0,0.0,4.1575610637664795,0.08118462562561035,0.9834614488702539,0.0,0.0,0.0
289,289,550,2345,0.9836563156665888,0.0,0.0,0.0,3.8093221187591553,0.08147025108337402,0.9836563156665888,0.0,0.0,0.0
290,290,550,2355,0.983618066931898,0.0,0.0,0.0,4.097356081008911,0.08130073547363281,0.983618066931898,0.0,0.0,0.0
291,291,550,2365,0.9835796387520526,0.0,0.0,0.0,7.728717565536499,0.08092474937438965,0.9835796387520526,0.0,0.0,0.0
292,292,550,2375,0.9835410298612743,0.0,0.0,0.0,6.684750080108643,0.08217549324035645,0.9835410298612743,0.0,0.0,0.0
293,293,550,2385,0.9835022389818525,0.0,0.0,0.0,5.026849985122681,0.07921290397644043,0.9835022389818525,0.0,0.0,0.0
294,294,550,2395,0.9834632648240019,0.0,0.0,0.0,4.339215040206909,0.07888531684875488,0.9834632648240019,0.0,0.0,0.0
295,295,550,2405,0.9834241060857211,0.0,0.0,0.0,5.753568172454834,0.07993149757385254,0.9834241060857211,0.0,0.0,0.0
296,296,550,2415,0.9833847614526465,0.0,0.0,0.0,4.570827960968018,0.08292412757873535,0.9833847614526465,0.0,0.0,0.0
297,297,550,2425,0.9833452295979063,0.0,0.0,0.0,3.9586198329925537,0.09096837043762207,0.9833452295979063,0.0,0.0,0.0
298,298,550,2435,0.9833055091819699,0.0,0.0,0.0,3.402930498123169,0.084808349609375,0.9833055091819699,0.0,0.0,0.0
299,299,550,2445,0.9832655988524982,0.0,0.0,0.0,3.581343173980713,0.07965469360351562,0.9832655988524982,0.0,0.0,0.0
300,300,550,2455,0.9832254972441888,0.0,0.0,0.0,3.720000743865967,0.08935046195983887,0.9832254972441888,0.0,0.0,0.0
301,301,550,2465,0.9831852029786212,0.0,0.0,0.0,6.281502723693848,0.07633519172668457,0.9831852029786212,0.0,0.0,0.0
302,302,550,2475,0.9831447146640983,0.0,0.0,0.0,4.1982245445251465,0.07736611366271973,0.9831447146640983,0.0,0.0,0.0
303,303,550,2485,0.9831040308954864,0.0,0.0,0.0,3.6876354217529297,0.0788886547088623,0.9831040308954864,0.0,0.0,0.0
304,304,550,2495,0.9830631502540528,0.0,0.0,0.0,5.108035326004028,0.07846379280090332,0.9830631502540528,0.0,0.0,0.0
305,305,550,2505,0.9830220713073005,0.0,0.0,0.0,4.4342803955078125,0.08060550689697266,0.9830220713073005,0.0,0.0,0.0
